,Species.name,common.name,taxa_smaller,taxa_big,present.in.BC,established.in.BC,established.in.Canada,native.to.part.of.BC,source.region.to.BC,hitlist..according.to.Therriault.and.Webb.,ornamental.nursery.trade,aquarium.pet..trade,live.food.market,biological.supply,aquaculture,fish.stocking,recreational.boating,bait.industry,shipping.and.ballast,canals.and.diversions,adjacent.region,if.adjacent..where,exotic.to.NA,invasive.in.NA,globally.invasive,Listed.in.publications,Risk.assessment.pubs,impact.other.pubs,X,X.1,X.2,X.3,X.4,X.5,wos
136,Hygrophila stricta OR Nomaphylla stricta,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,4,,NA,4
174,Lycoris radiata,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,4,,NA,4
225,Nymphaea lotus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,4,,NA,4
234,Oncorhynchus aguabonita,Golden trout,salmonid,fish,,,,,,,,maybe,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,,,NA,NA,,NA,4
262,Physa fontinalis ,Common Bladder Snail ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,NA,4,,NA,4
267,piscine orthoreovirus,piscine orthoreovirus (PRV-1),,virus,,,,,,,,,,,yes,,,,NA,NA,,,no,yes,no?,,,,,,NA,NA,,NA,4
281,Pomacea bridgesi ,"Apple Snail, Spiketop Apple Snail, Golden Mystery Snail ",mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,no,no?,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,NA,NA,,NA,4
338,Salvelinus fontinalis x Salvelinus namaycush,Brook trout x lake trout hybrid ,hybrid,fish,,,,,,,,,,,,,,,NA,NA,,,no,,,Crossman 1991,,,,,NA,NA,,NA,4
353,Spathiphyllum,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,NA,4,,NA,4
363,Thalia dealbata,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,4,,NA,4
370,Trichocerca,,rotifer,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,NA,4,,NA,4
389,Zizania aquatica,Wild rice,rice,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,4,,NA,4
32,Barclaya longifolia OR Hydrostemma longifolium,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,3,,NA,3
50,Caladium ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,3,,NA,3
52,Caltha,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,3,,NA,3
60,Ceratopteris thalictroides,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,3,,NA,3
104,Eucyclops serrulatus,,copepoda,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,NA,3,,NA,3
147,Jordanella floridae ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,3,,NA,3
208,Myosotis scorpioides,European forget-me-not,not,aquatic plant,yes,yes,yes,no,,,yes,,,,,,,,NA,NA,,,yes,yes,no,"BC Ministry List, Keller and Lodge 2007",,,,,NA,NA,,NA,3
248,Palaemon modestus,Siberian prawn,shrimp,invertebrate,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,Erhardt and Tiffan 2016,,,NA,NA,,NA,3
259,Phoxinus neogaeus ,Finescale dace,dace,fish,,yes,yes,,,,,yes,,,,,,,NA,NA,,,no,no,no,Mandrak et al 2014,,,,,NA,NA,,NA,3
273,Platygobio gracilis,Flathead chub,chub,fish,,,,,Alberta,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,,,NA,NA,,NA,3
283,Pomacea haustrum ,Titan Apple Snail ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,yes?,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,NA,NA,,NA,3
307,Puntius filamentosus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,3,,NA,3
315,Puntius semifasciolatus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,3,,NA,3
316,Puntius tetrazona ,Tiger barb,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family climate match ,NA,3,,NA,3
357,Syngonium,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,3,,NA,3
358,Tanichthys albonubes,white cloudmountain minnow,minnow,fish,,,,,,,,yes,,,,,,,NA,NA,,,yes,no,no,Gertzen et al. 2007,,,,,NA,NA,,NA,3
359,Tanichthys albonubes ,white cloudmountain minnow,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family climate match ,NA,3,,NA,3
12,Amia calva,bowfin,bowfin,fish,,,,,Ontario,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,,,NA,NA,,NA,2
71,Couesius plumbeus,Lake chub,chub,fish,,,,,Alberta,,,,,,,yes,,,NA,NA,,,no,yes,no,Crossman 1991,,,,,NA,NA,,NA,2
75,Cryptocoryne crispatula OR Cryptocoryne balansae OR Cryptocoryne tonkinensis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,NA,2,,NA,2
90,Echinodorus bolivianus OR Echinodorus latifolius OR Echinodorus angustifolius OR Echinodorus quadricostatus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,2,,NA,2
100,Elimia livescens ,Liver Elimia ,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,NA,NA,,,no,yes?,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,NA,NA,,NA,2
101,Erimyzon sucetta ,Lake chubsucker ,sucker,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,2
102,Esox americanus ,Redfin pickerel ,pickerel,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,2
126,Hottonia palustris ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,2,,NA,2
132,Hygrophila angustifolia OR Hygrophila salicifolia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,Moderately High,,NA,2,,NA,2
137,Hymenocallis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,2,,NA,2
151,Kryptopterus bicirrhis ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,2,,NA,2
152,Lampetra ayresii ,Western river lamprey ,lamprey,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,2
161,Lepisosteus osseus ,Longnose gar,gar,fish,,yes,yes,,,,,yes,,,,,,,NA,NA,,,no,no,no,Mandrak et al 2014,,,,,NA,NA,,NA,2
166,Lepomis megalotis ,Longear sunfish ,sunfish,fish,,yes,yes,,,,,yes,,,,,,,NA,NA,yes,Montana,no,yes,no,Mandrak et al 2014,,Clancy and Bourret 2020,,,NA,NA,,NA,2
181,Marsilea hirsuta,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,2,,NA,2
184,Mayaca fluviatilis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,NA,2,,NA,2
205,Musculium partumeium ,Swamp Fingernail Clam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,NA,2,,NA,2
211,Myriophyllum propinquum,Common water milfoil,milfoil,aquatic plant,,,,no,,,yes,,,,,,,,NA,NA,,,,,,DFO SLRA 2014,,,,,NA,2,,NA,2
226,Nymphaea mexicana,Yellow waterlily,waterlily,aquatic plant,yes,,,no,,,yes,,,,,,,,NA,NA,,,no,yes,yes,"BC Ministry List, Azan et al. 2015",Azan et al. 2015,,,,NA,NA,,NA,2
235,Oncorhynchus clarki lewisi x Oncorhynchus mykiss,Westslope cutthroat trout x rainbow trout hybrid,salmonid,fish,,,,,,,,,,,,,,,NA,NA,,,no,,,Crossman 1991,,,,,NA,NA,,NA,2
246,Oxyeleotris marmorata ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,2,,NA,2
270,Pisidium henslowanum ,Henslow Peaclam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,NA,2,,NA,2
292,Priapella intermedia ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,2,,NA,2
305,Puntius conchonius ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,2,,NA,2
324,Rorippa nasturtium-aquaticum,Common water cress,cress,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,2,,NA,2
343,Salvinia auriculata,eared watermoss,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Keller and Lodge 2007,,,,,NA,2,,NA,2
355,Sphaerium corneum,European Fingernail Clam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,yes,yes,yes,Schroeder et al. 2014,Schroeder et al. 2014,Mackie 1976; Mackie 2000,,,NA,NA,,NA,2
362,Taxiphyllum,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,2,,NA,2
364,Thalia geniculata,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,2,,NA,2
375,Umbra limi,Central Mud Minnow,Minnow,fish,,,,,,,,,,,,,,,NA,NA,yes,Montana,no,yes,no,,,Clancy and Bourret 2020,,,NA,NA,,NA,2
378,Vallisneria gigantea,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,2,,NA,2
382,Veronica anagallis-aquatica,Blue water speedwell,speedwell,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,2,,NA,2
2,Acorus gramineus,Grassy-leaved sweet flag (Japanese sweetflag) ,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,1,,NA,1
3,Agapanthus africanus ,lily of the Nile,,plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,1,,NA,1
11,Ameiurus platycephalus ,Flat bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,NA,NA,yes,Montana,no,yes,yes,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,NA,NA,,NA,1
13,Ammania senegalensis OR Ammannia auriculata,copper leaf ammania,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,1,,NA,1
14,Anemopsis californica,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
19,Anubias,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,1,,NA,1
21,Aponogeton madagascariensis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
26,Bacopa australis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
29,Barbonymus altus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
31,Barclaya,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,1,,NA,1
43,Brachygobius doriae ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
48,Cabomba palaeformis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
76,Cryptocoryne undulata OR Cryptocoryne willisii,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,1,,NA,1
80,Cyperus longus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,1,,NA,1
86,Dracaena fragrans,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
91,Echinodorus cordifolius,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
99,Elassoma evergladei ,,,fish,,,,,,,,,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
110,Glyceria declinata,Waxy mannagrass,mannagrass,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,1,,NA,1
111,Glyceria fluitans,Floating sweet-grass,grass,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,1,,NA,1
115,Harpacticella paradoxa,,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,Cordell et al. 2007,,,NA,NA,,NA,1
118,Hemianthus callitrichoides OR Micranthemum umbrosum,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
120,Hemigraphis repanda OR Ruellia repanda,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,1,,NA,1
123,Heteranthera zosterifolia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
124,Hibiscus acetosella,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,1,,NA,1
133,Hygrophila corymbosa,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,NA,1,,NA,1
140,Ichthyomyzon greeleyi ,Mountain brook lamprey ,lamprey,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,1
150,Jussiaea diffusa,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
156,Lecane monostyla,,rotifer,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,NA,1,,NA,1
157,Lecane pyriformis,,rotifer,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,NA,1,,NA,1
158,Lepadella ovalis,,rotifer,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,NA,1,,NA,1
167,Lethenteron alaskense ,Alaskan brook lamprey,lamprey,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,1
170,Lobelia sessilifolia ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,1,,NA,1
182,Marsilea mutica,water fern,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Keller and Lodge 2007,,,,,NA,1,,NA,1
187,Microcyclops rubellus,,copepoda,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on Sword plants,,NA,1,,NA,1
188,Micromeria brownei OR Clinopodium brownei,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
191,Microsorum pteropus ,java fern,Copel. (syn. Colysis pteropus),aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,yes,no,no,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,,,NA,NA,,NA,1
204,Musculium lacustre ,Lake Fingernail Clam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,NA,1,,NA,1
216,Myxocyprinus asiaticus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
217,Najas graminea,Ricefield waternymph,waternymph,aquatic plant,,,no,,,,yes,,,,,,,,NA,NA,,,,,,DFO SLRA 2014,,,,,NA,1,,NA,1
222,Noturus albater ,Ozark madtom ,madtom,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,1
227,Nymphaea nouchali,Blue lotus,lotus,aquatic plant,,,no,,,,yes,,,,,,,,NA,NA,,,,,,DFO SLRA 2014,,Mordecai et al. 2021,,,NA,1,,NA,1
245,Otocinclus affinis,Golden otocinclus,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Gertzen et al. 2007,,,,,NA,1,,NA,1
249,Parambassis ranga ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
257,Periophthalmus barbarus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
266,Pimephales vigilax ,Bullhead minnow ,minnow,fish,,,,,,No,,,,,,,,,NA,NA,,,no,yes,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,1
276,Poecilia petenensis ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
290,Potamogeton schweinfurthii,Pondweed,Pondweed,aquatic plant,,,no,,,,yes,,,,,,,,NA,NA,,,,,,DFO SLRA 2014,,,,,NA,1,,NA,1
298,Pseudogastromyzon fasciatus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
303,Ptygura,,rotifer,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,NA,1,,NA,1
304,Puntius chola ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
306,Puntius denisonii ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
308,Puntius hexazona ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
309,Puntius johorensis ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
310,Puntius lateristriga ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
311,Puntius lineatus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
312,Puntius oligolepis ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
313,Puntius partipentazona ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
314,Puntius sachsii ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
317,Puntius ticto ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
322,Rasbora trilineata ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
326,Rotala indica ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,1,,NA,1
330,Sagittaria natans,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,1,,NA,1
344,Salvinia oblongifolia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,1,,NA,1
371,Tulbaghia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,1,,NA,1
372,Tulbaghia violacea,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,1,,NA,1
377,Vallisneria asiatica ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,1,,NA,1
379,Vallisneria rubra OR Maidenia rubra,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,1,,NA,1
381,Valvata piscinalis ,European Stream Valvata ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,yes,yes,yes,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,,,,NA,NA,,NA,1
384,Xenentodon cancila ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,1,,NA,1
4,Alosa mediocris,Hickory shad,shad,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,0
7,Ameiurus brunneus,Snail bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,NA,NA,yes,Montana,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,NA,NA,,NA,0
84,Danio albolineatus ,Pearl danio,danio,fish,,yes,no,,,,,yes,,,,,,,NA,NA,,,yes,no,no,Mandrak et al 2014,,,,,NA,NA,,NA,0
125,Hiodon alosoides,Goldeye,Goldeye,fish,,,,,Alberta,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,,,NA,NA,,NA,0
154,Lampetra pacifica ,Pacific brook lamprey ,lamprey,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,0
199,Morone mississippiensis,Yellow bass,bass,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,yes,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,0
223,Noturus elegans ,Elegant madtom ,madtom,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,0
253,Percina antesella ,Amber darter ,darter,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,0
254,Percina aurantiaca ,Tangerine darter ,darter,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,0
255,Percina burtoni ,Blotchside darter ,darter,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,0
299,Pteronotropis hypselopterus ,Sailfin shiner ,shiner,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,0
332,Sagittaria subulata,Awl-leaf arrowhead,arrowhead,aquatic plant,,,,no,,,yes,,,,,,,,NA,NA,,,yes,no,yes,"DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,,,NA,NA,,NA,0
