"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","exotic.to.NA","invasive.in.NA","globally.invasive","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","X","X.1","X.2","X.3","X.4","wos","wos_pet_trade","wos_live_trade","wos_bait","wos_biol_supply","wos_aquaculture","wos_stocking","wos_boating","wos_shipping","wos_canal","wos_spread_adj","wos_bc","wos_salmon","wos_impact"
"209","Myriophyllum aquaticum","Parrot's feather","feather","aquatic plant","yes","","yes","no","","","yes","yes","","","","","","",NA,NA,"yes","Washington","yes","yes","yes","BC Ministry List, Keller and Lodge 2007","","Kuehne et al. 2016, 2018","","",NA,NA,"",83,4,0,1,3,5,4,0,0,6,2,0,0,3
"210","Myriophyllum heterophyllum","Varied-leaved watermilfoil","watermilfoil","aquatic plant","yes","","","no","","","yes","","","","","","","",NA,NA,"","","no","yes","yes","BC Ministry List, DFO SLRA 2014","","","","",NA,NA,"",25,2,0,0,0,0,1,2,0,1,0,0,0,1
"211","Myriophyllum propinquum","Common water milfoil","milfoil","aquatic plant","","","","no","","","yes","","","","","","","",NA,NA,"","","","","","DFO SLRA 2014","","","","",NA,2,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","Myriophyllum spicatum","Eurasian water-milfoil (spiked)","milfoil","aquatic plant","yes","","yes","no","","","yes","yes","","","","","yes","",NA,NA,"yes","Idaho, Washington","yes","yes","yes","BC Ministry List, Keller and Lodge 2007","","(Moody and Les 2007; Madsen et al. 2015; Liao et al. 2016, Wagner and Falter 2002, Parsons et al. 2009; Tamayo and Olden 2014; Olden and Tamayo 2014)","","",NA,NA,"",308,22,0,3,2,14,23,17,4,17,21,8,0,10
"213","Mysis diluviana","Opossum shrimp","shrimp","invertebrate","","","","","","","","","","","","","","",NA,NA,"yes","Montana, Idaho, Washington","no","yes","no","","","Ellis et al 2011, Devlin et al. 2017, Caldwell et al. 2016, Schoen et al. 2015","","",NA,NA,"",31,0,0,0,0,3,7,0,0,0,13,4,1,2
"214","Mytilopsis leucophaeata","dark false mussel","mollusc","invertebrate","","","","","","","","","","","","","","",NA,NA,"","","no","yes","yes","","Therriault et al. 2013, DFO Canadawide RA","","","",NA,NA,"",53,1,0,0,0,1,1,2,10,9,0,0,0,1
"215","Myxobolus cerebralis ","Whirling disease parasite","cndaria","parasite","","","","","","","","","","","","","","",NA,NA,"yes","Montana, Alaska","yes","yes","yes","","","Carim et al. 2015; Murcia et al. 2015, Gates et al. 2009, (Arsan and Bartholomew 2008)","","",NA,NA,"",73,11,0,0,0,29,67,0,2,2,53,6,3,1
"216","Myxocyprinus asiaticus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,2,0,0,0,3,4,1,1,1,0,0,0,0
"217","Najas graminea","Ricefield waternymph","waternymph","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","","","","DFO SLRA 2014","","","","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","Najas minor","less naiad","","aquatic plant","","","yes","","","","","yes","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,14,"",14,0,0,0,0,1,0,0,0,0,0,0,0,0
"219","Nelumbo","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,49,"",49,4,1,1,0,31,2,1,1,10,2,0,0,0
"220","Notemigonus crysoleucas","golden shiner","shiner","fish","","","yes","","","","","","","","","","","yes",NA,NA,"yes","Washington","no","yes","no","Keller and Lodge 2007","","Bonar et al. 2005","","",NA,NA,"",24,12,2,11,1,12,27,1,1,1,7,0,1,0
"221","Notropis hudsonius","Margined madtom or spottail shiner","shiner","fish","","yes","","yes","","","","maybe","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991, BC Ministry List","","","","",NA,NA,"",15,0,0,2,1,0,4,0,0,1,2,0,0,0
"222","Noturus albater ","Ozark madtom ","madtom","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","Noturus elegans ","Elegant madtom ","madtom","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","Nymphaea alba","European white waterlily","waterlily","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","","","","DFO SLRA 2014","","","","",NA,7,"",7,0,1,0,0,9,1,0,0,2,0,0,0,0
"225","Nymphaea lotus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,4,"",4,0,1,0,0,2,0,0,0,2,0,0,0,0
"226","Nymphaea mexicana","Yellow waterlily","waterlily","aquatic plant","yes","","","no","","","yes","","","","","","","",NA,NA,"","","no","yes","yes","BC Ministry List, Azan et al. 2015","Azan et al. 2015","","","",NA,NA,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","Nymphaea nouchali","Blue lotus","lotus","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","","","","DFO SLRA 2014","","Mordecai et al. 2021","","",NA,1,"",1,0,0,0,0,0,0,1,0,1,0,0,0,0
"228","Nymphaea odorata","Fragrant waterlily","waterlily","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,7,"",8,0,0,0,0,0,3,0,0,1,1,0,0,0
"229","(Nymphaea stellata OR Nymphaea nouchali)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,33,"",1,0,0,0,0,0,0,1,0,1,0,0,0,0
"230","Nymphoides aquatic ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,22,"",22,0,0,1,0,5,2,0,0,3,3,1,0,1
"231","Nymphoides peltata","Yellow floating heart","heart","aquatic plant","yes","","yes","no","","","yes","yes","","","","","","",NA,NA,"","","yes","yes","yes","BC Ministry List, Keller and Lodge 2007","","","","",NA,NA,"",10,0,0,0,0,4,2,0,0,2,1,1,0,1
"232","Oenanthe","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,17,"",17,1,0,0,1,9,1,0,2,1,8,0,0,0
"233","Oenanthe aquatica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,5,"",5,0,0,0,0,1,0,0,0,0,0,0,0,0
"234","Oncorhynchus aguabonita","Golden trout","salmonid","fish","","","","","","","","maybe","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",4,0,0,0,0,0,6,0,0,0,1,1,0,0
"235","Oncorhynchus clarki lewisi x Oncorhynchus mykiss","Westslope cutthroat trout x rainbow trout hybrid","salmonid","fish","","","","","","","","","","","","","","",NA,NA,"","","no","","","Crossman 1991","","","","",NA,NA,"",2,0,0,0,0,0,0,0,0,0,1,1,0,0
"236","Oncorhynchus clarkii clarkii","Cutthroat Trout","salmonid","fish","","","","","","","","","","","yes","","","",NA,NA,"","","no","yes","yes","DFO aquaculture liscence","","","","",NA,NA,"",159,3,0,1,1,6,89,1,0,14,122,30,6,0
"237","Oncorhynchus keta","Chum salmon","salmonid","fish","","","","","Alaska, Yukon","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",19,6,1,3,0,42,255,2,1,7,210,206,1,0
"238","Oncorhynchus kisutch","Coho salmon","salmonid","fish","","","","","","","","","","yes","yes","","","",NA,NA,"","","no","yes","no","DFO aquaculture liscence, Gartner et al, 2011","","","","",NA,NA,"",178,31,7,3,6,217,819,14,2,30,526,419,31,3
"239","Oncorhynchus mykiss ","Rainbow trout, Steelhead","salmonid","fish","","","yes","","Ontario, Washington , California, Norway","","","","yes","","yes","","","",NA,NA,"yes","Montana, Washington","no","yes","yes","Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence","","Carim et al. 2015, Clancy and Bourret 2020, (Ostberg and Rodriguez 2006; Ostberg and Chase 2012), Bonar et al. 2005, Taylor et al. 2007; Pearon and Goater 2008; Rasmussen et al. 2010, 2012; Hanisch et al. 2012, 2013; Yau and Taylor 2013)","","",NA,NA,"",1148,295,27,23,29,3241,2146,26,21,96,575,285,79,23
"240","Oncorhynchus nerka","Kokanee, Sockeye salmon","salmonid","fish","","","","","","","","","","","yes","","","",NA,NA,"yes","Washington","no","yes?","yes?","Crossman 1991, DFO aquaculture liscences","","spies et al. 2007","","",NA,NA,"",107,4,6,5,0,42,508,4,4,21,575,556,14,1
"241","Oncorhynchus tshawytscha","Chinook salmon","salmonid","fish","","","","","Yukon, Oregon, Washington","","","","","","yes","","","",NA,NA,"yes","Washington","no","yes","yes","Crossman 1991, DFO aquaculture liscences","","Jezorek and Connolly 2015","","",NA,NA,"",237,20,6,3,3,187,1140,18,4,47,627,370,47,8
"242","Oreochromis aureus ","Blue tilapia ","tilapia","fish","","","","","","No","","","","","yes","","","",NA,NA,"","","yes","yes","yes","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",39,44,0,1,0,105,69,0,0,0,0,0,0,0
"243","Oreochromis niloticus","Nile Tilapia","tilapia","fish","","","","","","","","","","","yes","","","",NA,NA,"","","yes","yes","yes","DFO aquaculture liscence","","","","",NA,NA,"",484,408,10,14,16,1992,978,8,2,36,3,1,8,13
"244","Ostracoda","","Ostracoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","",NA,86,"",88,5,0,4,2,7,11,0,9,37,35,2,0,5
"245","Otocinclus affinis","Golden otocinclus","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Gertzen et al. 2007","","","","",NA,1,"",1,0,0,0,0,0,0,0,0,1,0,0,0,0
"246","Oxyeleotris marmorata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,2,"",2,1,0,0,0,9,3,0,0,0,0,0,0,0
"247","Pacifastacus leniusculus","Signal crayfish","crayfish","invertebrate","yes","yes","yes","","","","","","","","yes","","","",NA,NA,"yes","Washington","no","yes","yes","","(Mueller 2007; Mueller and Bodensteiner 2009; Larson et al. 2017), larson and olden 2013","","","",NA,NA,"",494,35,4,10,3,70,88,1,2,7,10,4,4,20
"248","Palaemon modestus","Siberian prawn","shrimp","invertebrate","","","","","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","no","","","Erhardt and Tiffan 2016","","",NA,NA,"",3,0,0,0,0,0,0,0,0,1,3,0,0,0
"249","Parambassis ranga ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,2,0,0,0,0,0,0,0
"250","Pectinatella magnifica","magnificent bryozoan","bryozoan","invertebrate","yes","","","no","","","","","","","","","","",NA,NA,"","","no","yes","yes","BC Ministry List","","","","",NA,NA,"",18,2,0,0,0,4,0,1,1,2,0,0,0,0
"251","Perca flavescens","Yellow perch","perch","fish","","yes","yes","yes","Alberta, USA","Yes","","","","","","","","",NA,NA,"yes","Montana, Washington","no","yes","no","Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Bolding et al. 1998; Hansen et al. 2019, Bonar et al. 2005","","",NA,NA,"",180,13,2,4,3,49,196,8,2,14,85,7,4,3
"252","Perccottus glenii","Amur sleeper","","fish","","","","","","","","","yes","","","","","",NA,NA,"","","yes","no","yes","Roy et al. 2018","","Roy et al. 2018","","",NA,NA,"",108,10,0,0,1,10,8,0,0,4,0,0,0,4
"253","Percina antesella ","Amber darter ","darter","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254","Percina aurantiaca ","Tangerine darter ","darter","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"255","Percina burtoni ","Blotchside darter ","darter","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"256","Percopsis omiscomaycus","trout-perch","perch","fish","","","","","","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",6,0,0,0,0,0,2,1,0,0,7,0,0,1
"257","Periophthalmus barbarus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,1,1,0,0,3,0,0,0,0
"258","Petromyzontidae","lamprey (sp)","lamprey","fish","","","","","Washington, California","","","","","","","","","",NA,NA,"","","","","","Crossman 1991","","","","",NA,NA,"",9,2,0,0,0,2,6,1,0,2,3,6,0,1
"259","Phoxinus neogaeus ","Finescale dace","dace","fish","","yes","yes","","","","","yes","","","","","","",NA,NA,"","","no","no","no","Mandrak et al 2014","","","","",NA,NA,"",3,0,0,0,0,0,1,0,0,0,4,0,0,0
"260","Phragmites","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1109,"",1125,7,2,9,13,131,121,10,10,78,20,4,1,41
"261","Physa acuta ","European Physa ","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014, Duggan et al. 2018","Schroeder et al. 2014","","on sword plants and Vallisneria plants","",NA,77,"",78,8,0,0,0,4,3,1,0,1,1,0,0,3
"262","Physa fontinalis ","Common Bladder Snail ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014","Schroeder et al. 2014","","","",NA,4,"",4,0,0,0,0,0,1,0,0,0,0,0,0,1
"263","Physella acuta ","European Physa ","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"","","no","yes","yes","Schroeder et al. 2014, Duggan et al. 2018","Schroeder et al. 2014","","","",NA,NA,"",29,2,0,0,0,4,0,0,1,1,0,0,0,0
"264","Piaractus brachypomus","Red-bellied pacu","pacu","fish","yes","","","","","","","","","","","","","",NA,NA,"","","yes","yes","yes","BC Ministry List","","","","",NA,NA,"",19,8,0,2,0,38,13,0,1,3,1,1,0,0
"265","Pimephales promelas ","Fathead minnow","minnow","fish","","yes","yes","","Ontario","","","yes","","yes","","","","",NA,NA,"yes","Montana","no","yes","yes","Crossman 1991, Mandrak et al 2014, BC Ministry List, Keller and Lodge 2007","","Clancy and Bourret 2020","","",NA,NA,"",135,58,4,14,3,41,77,4,4,7,51,3,3,2
"266","Pimephales vigilax ","Bullhead minnow ","minnow","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","yes","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",1,0,0,0,0,0,0,0,0,1,0,0,0,0
"267","piscine orthoreovirus","piscine orthoreovirus (PRV-1)","","virus","","","","","","","","","","","yes","","","",NA,NA,"","","no","yes","no?","","","","","",NA,NA,"",5,0,1,0,0,27,8,0,0,0,3,18,0,0
"268","Pisidium amnicum ","Greater European Peaclam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014","Schroeder et al. 2014","","","",NA,9,"",9,0,0,0,0,0,0,0,1,0,0,0,0,0
"269","(Pisidium corneum OR Sphaerium corneum )","European Fingernail Clam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014","Schroeder et al. 2014","Mackie 1976; Mackie 2000","parasite host","",NA,17,"",2,2,0,0,0,0,0,0,1,0,0,0,0,0
"270","Pisidium henslowanum ","Henslow Peaclam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014","Schroeder et al. 2014","","","",NA,2,"",2,0,0,0,0,0,0,0,1,0,0,0,0,0
"271","Pistia stratiotes","water lettuce","","aquatic plant","","","yes","","","","yes","yes","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,110,"",110,17,1,1,1,22,7,3,1,11,1,0,0,3
"272","Planorbidae","","mollusc","invertebrate","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","",NA,67,"",67,13,0,1,0,14,7,0,0,9,3,2,0,2
"273","Platygobio gracilis","Flathead chub","chub","fish","","","","","Alberta","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",3,0,0,0,0,0,0,0,0,3,2,0,0,0
"274","Plumatella","bryozoan","bryozoan","invertebrate","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on sword plants","",NA,6,"",6,1,0,0,0,2,1,0,1,1,0,0,0,0
"275","Poecilia latipinna ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,25,"",25,10,0,1,0,4,4,0,0,3,0,0,0,1
"276","Poecilia petenensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"277","Poecilia reticulata ","Guppy","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family climate match ",NA,232,"",236,98,32,2,2,63,71,2,3,7,9,5,1,9
"278","Poecilia sphenops ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,10,"",10,10,0,0,1,8,4,0,1,1,0,0,1,1
"279","Poecilia velifera ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,6,"",6,3,0,0,0,2,1,1,0,0,0,0,0,0
"280","(Pogostemon stellatus OR Dysophylla stellata OR Eusteralis stellata)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,8,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281","Pomacea bridgesi ","Apple Snail, Spiketop Apple Snail, Golden Mystery Snail ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","no","no?","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","",NA,NA,"",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"282","Pomacea canaliculata ","Golden/Channelled Apple Snail ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","yes","yes","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","",NA,NA,"",279,23,1,3,0,21,5,1,1,10,0,0,0,14
"283","Pomacea haustrum ","Titan Apple Snail ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","yes?","no","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","",NA,NA,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"284","Pomacea insularum","Island Apple Snail ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","yes","no","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","",NA,NA,"",45,3,0,0,0,1,1,0,1,1,0,0,0,2
"285","Pomoxis annularis ","White crappie ","crappie","fish","","","","","","No","","","","","","","","",NA,NA,"yes","Montana","no","yes","no","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","",NA,NA,"",5,1,0,0,0,2,26,0,1,2,3,0,0,1
"286","Pomoxis nigromaculatus ","Black crappie","crappie","fish","","yes","yes","","USA","","","yes","","","","","","",NA,NA,"yes","Montana, Washington","no","yes","no","Crossman 1991, Mandrak et al 2014, BC Ministry List","","Clancy and Bourret 2020, Bonar et al. 2005","","",NA,NA,"",15,1,0,1,0,4,32,3,0,3,2,0,0,0
"287","Pontederia ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,4,"",43,0,0,1,1,4,3,0,0,5,1,0,0,0
"288","Potamogeton crispus","Curled pondweed (curlyleaf)","curlyleaf)","aquatic plant","yes","","yes","no","","","yes","","","","","","","",NA,NA,"yes","Washington","yes","yes","yes","BC Ministry List, Keller and Lodge 2007","","(Tamayo and Olden 2014)","","",NA,NA,"",58,6,0,0,1,7,4,3,0,7,2,0,0,1
"289","(Potamogeton malaianus OR Potamogeton nodosus)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,82,"",14,1,0,0,1,2,3,0,0,6,0,0,0,1
"290","Potamogeton schweinfurthii","Pondweed","Pondweed","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","","","","DFO SLRA 2014","","","","",NA,1,"",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"291","Potamopyrgus antipodarum ","New Zealand Mudsnail ","mollusc","invertebrate","yes","","yes","no","","","","","","","","","","",NA,NA,"yes","Idaho, Washington","yes","yes","yes","Schroeder et al. 2014, BC Ministry List","Therriault et al. 2011, DFO Canadawide RA","(Richards et al. 2001; Kistner and Dybdahl 2014) (Paolucci and Thuesen 2020)","","",NA,NA,"",218,7,1,1,1,6,20,2,9,7,14,0,2,8
"292","Priapella intermedia ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,2,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"293","Primula","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,35,"",38,1,2,0,0,20,7,2,1,1,26,1,0,1
"294","Procambarus clarkii","Red Swamp crayfish","crayfish","invertebrate","","","yes","","","","","","","yes","","","","",NA,NA,"yes","Washington","no","yes","yes","Brown and Therriault, Keller and Lodge 2007","(Mueller 2007; Mueller and Bodensteiner 2009; Larson et al. 2017)","","","",NA,NA,"",700,89,11,30,8,199,79,6,6,28,14,1,2,43
"295","Pseudacris regilla","Chorus frog","frog","amphibian","yes","","","yes","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,38,"",38,0,0,0,0,1,6,0,0,1,5,10,0,4
"296","Pseudodiaptomus forbesi","","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","no","","","Dexter et al. 2020, Lee et al. 2016, Cordell et al. 2008","","",NA,NA,"",22,0,0,0,0,1,1,1,3,1,2,0,1,2
"297","Pseudodiaptomus inopinus","","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","no","","","Cordell et al. 2008","","",NA,NA,"",16,0,0,0,0,1,0,1,10,0,6,5,0,1
"298","Pseudogastromyzon fasciatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"299","Pteronotropis hypselopterus ","Sailfin shiner ","shiner","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300","Pterophyllum scalare","Angelfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Gertzen et al. 2007","","","","",NA,9,"",9,41,1,0,0,27,16,0,0,0,0,0,0,0
"301","Pterygoplichthys","plecostomus","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Gertzen et al. 2007","","","","",NA,95,"",96,21,0,0,0,6,3,0,0,2,0,0,0,0
"302","Ptychocheilus oregonensis ","Northern pikeminnow ","pikeminnow","fish","","","","","","No","","","","","","","","",NA,NA,"yes","Montana","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","",NA,NA,"",15,0,0,0,0,0,11,4,0,1,12,4,0,0
"303","Ptygura","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on Vallisneria plants","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"304","Puntius chola ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,1,1,0,0,0,0,0,0,0
"305","Puntius conchonius ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,2,"",3,1,0,0,0,2,2,0,0,0,0,0,0,0
"306","Puntius denisonii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,5,1,0,0,0,2,0,0,0,0,0,0,0
"307","Puntius filamentosus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,3,"",3,0,0,0,0,1,2,0,0,0,0,0,0,0
"308","Puntius hexazona ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"309","Puntius johorensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"310","Puntius lateristriga ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"311","Puntius lineatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"312","Puntius oligolepis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"313","Puntius partipentazona ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"314","Puntius sachsii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,1,0,0,0,1,0,0,0,0,0,0,0,0
