,Species.name,common.name,taxa_smaller,taxa_big,present.in.BC,established.in.BC,established.in.Canada,native.to.part.of.BC,source.region.to.BC,hitlist..according.to.Therriault.and.Webb.,ornamental.nursery.trade,aquarium.pet..trade,live.food.market,biological.supply,aquaculture,fish.stocking,recreational.boating,bait.industry,shipping.and.ballast,canals.and.diversions,adjacent.region,if.adjacent..where,exotic.to.NA,invasive.in.NA,globally.invasive,Listed.in.publications,Risk.assessment.pubs,impact.other.pubs,wos,wos_pet_trade,wos_live_trade,wos_bait,wos_biol_supply,wos_aquaculture,wos_stocking,wos_boating,wos_bc,wos_shipping,wos_canal,wos_spread_adj,sum_vector
133,Bosmina coregoni,water flea,cladocera,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,Lee et al. 2016,,12,0,0,0,0,1,3,0,0,1,1,0,6
175,Limnoithona tetraspina,,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,yes?,,,Cordell et al. 2008,11,0,0,0,0,0,0,0,0,3,0,1,3
20,Faxonius virilis,Virile or Northern crayfish,crayfish,invertebrate,yes,,,,#NAME?,,,,,,,,,,NA,NA,yes,Washington,no,yes,no,Brown and Therriault,(Larson et al. 2010; Loffredo et al. 2019),,11,0,0,0,0,0,1,0,0,0,1,2,2
59,Sander canadensis ,Sauger ,Sauger,fish,,,,,,No,,,,,,,,,NA,NA,,,no,yes,no,Therriault and Webb 2017,Therriault and Webb 2017,,10,0,0,0,0,4,23,1,0,1,3,2,32
110,Biomphalaria alexandrina ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,10,0,0,3,2,0,0,0,0,0,5,0,10
153,Craspedacusta sowerbyi,Freshwater jellyfish,hydrozoan,invertebrate,yes,,,no,,,,yes,,,,,,,NA,NA,,,yes,yes,yes,"BC Ministry List, Duggan et al. 2018",,,10,0,0,0,1,0,0,0,1,1,1,1,4
22,Salvelinus trutta x Salvelinus namaycush OR Splake,Splake,Splake,fish,yes,,,,,,,,,,,,,,NA,NA,,,no,yes,no,BC Ministry List,,,9,5,5,5,5,5,18,5,5,5,5,5,63
109,Misgurnus fossilis ,weatherfish,weatherfish,fish,,yes,no,,,,,yes,,,,,,,NA,NA,,,yes,no,no,Mandrak et al 2014,,,9,1,0,0,0,1,4,0,0,0,6,0,12
27,Culaea inconstans ,Brook stickleback,stickleback,fish,,,,,Alberta,Yes,,,,,,yes,,,NA,NA,yes,Washington,no,yes,no,"Crossman 1991, Therriault and Webb 2017",Therriault and Webb 2017,(Scholz et al. 2003; Wieker et al. 2016),9,3,0,1,0,1,2,0,2,0,0,12,9
149,Nymphoides peltata,Yellow floating heart,heart,aquatic plant,yes,,yes,no,,,yes,yes,,,,,,,NA,NA,,,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,,9,0,0,0,0,4,2,0,1,0,2,1,9
18,Ameiurus natalis,Yellow bullhead,bullhead catfish,fish,yes,,,,,,,,,,,,,,NA,NA,yes,Montana,no,yes,no,BC Ministry List,,Clancy and Bourret 2020,8,1,0,1,0,0,5,0,1,0,1,2,9
131,Radix auricularia ,"European Ear Snail, Big-eared Radix ",mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,Larson et al. 2018,8,1,0,0,0,1,2,1,0,0,4,2,9
163,Leuciscus idus ,ide,ide,fish,,yes,no,,,,,yes,yes,,,,,,NA,NA,,,yes,yes,yes,Mandrak et al 2014,,Roy et al. 2018,7,3,0,0,0,9,20,0,0,0,2,0,34
86,Sagittaria platyphylla,Delta arrowhead,arrowhead,aquatic plant,,,no,,,,yes,,,,,,,,NA,NA,,,no,yes,yes,"DFO SLRA 2014, cohen et al. 2007",,,7,3,0,0,0,1,0,0,0,0,2,0,6
113,Indoplanorbis exustus ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,7,1,0,0,0,2,0,0,0,0,2,0,5
