"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","notes","notes.2","X","X.1","X.2","wos"
"154","Hygrophila polysperma ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",10
"155","Hygrophila rosanervis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"156","Hygrophila salicifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"157","Hygrophila","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","","High","","",NA,"",76
"158","Hygrophila stricta OR Nomaphylla stricta","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",4
"159","Hymenocallis liriosome","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"160","Hymenocallis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",2
"161","Iris kaempferi","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"162","Iris pseudacorus","Yellow iris","iris","aquatic plant","yes","","yes","no","","","yes","","","","","","","",NA,NA,"","","BC Ministry List, Keller and Lodge 2007","","","","","",NA,"",24
"163","Iris","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",1570
"164","Isolepis cernua OR Scirpus cernuus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",5
"165","Juncus brevicaudatus","Short-tailed rush","rush","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",0
"166","Juncus bulbosus","Bulbous rush","rush","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",9
"167","Juncus repens","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",6
"168","Juncus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",158
"169","Jussiaea diffusa","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"170","Lagarosiphon madagascarensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"171","Lagarosyphon major","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"172","Lilaeopsis brasiliensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"173","Lilaeopsis carolinensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"174","Lilaeopsis mauritiana","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"175","Lilaeopsis novae-zelandiae","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",0
"176","Limnophila aquatica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",0
"177","Limnophila aromatica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"178","Limnophila hippuroides","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"179","Limnophila indica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"180","Limnophila sessiflora ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"181","Lindernia rotundiflora OR Linderna microcalyx","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"182","Lobelia sessilifolia ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",1
"183","Lobelia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",25
"184","Ludwigia arcuate","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"185","Ludwigia brevipes","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"186","Ludwigia glandulosa","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"187","Ludwigia inclinata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"188","Ludwigia palustris ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",6
"189","Ludwigia repens","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",5
"190","Ludwigia sedioides","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"191","Ludwigia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",120
"192","Lycoris radiata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",4
"193","Lysimachia nummularia","moneywort","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",5
"194","Lysimachia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",22
"195","Marsilea angustifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"196","Marsilea crenata OR Marsilea crenulata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",14
"197","Marsilea hirsuta","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",2
"198","Marsilea mutica","water fern","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",1
"199","Marsilea quadrifolia","water shamrock","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",5
"200","Marsilea schelpeana","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"201","Mayaca fluviatilis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",2
"202","Mentha aquatic","water mint","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",7
"203","Microcarpaea minima","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"204","Micromeria brownei OR Clinopodium brownei","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"205","Microsorum pteropus OR Colysis pteropus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","","High","","",NA,"",15
"206","Microsorum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",2
"207","Mimulus luteus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",8
"208","Musa","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",240
"209","Mynphaea","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"210","Myosotis scorpioides","European forget-me-not","not","aquatic plant","yes","yes","yes","no","","","yes","","","","","","","",NA,NA,"","","BC Ministry List, Keller and Lodge 2007","","","","","",NA,"",3
"211","Myosotis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",20
"212","Myriophyllum aquaticum","Parrot's feather","feather","aquatic plant","yes","","yes","no","","","yes","yes","","","","","","",NA,NA,"yes","Washington","BC Ministry List, Keller and Lodge 2007","","Kuehne et al. 2016, 2018","","","",NA,"",83
"213","Myriophyllum heterophyllum","Varied-leaved watermilfoil","watermilfoil","aquatic plant","yes","","","no","","","yes","","","","","","","",NA,NA,"","","BC Ministry List, DFO SLRA 2014","","","","","",NA,"",25
"214","Myriophyllum mattogrossensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Low","","",NA,"",0
"215","Myriophyllum propinquum","Common water milfoil","milfoil","aquatic plant","","","","no","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",2
"216","Myriophyllum ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",419
"217","Myriophyllum spicatum","Eurasian water-milfoil","milfoil","aquatic plant","yes","","yes","no","","","yes","yes","","","","","yes","",NA,NA,"yes","Idaho, Washington","BC Ministry List, Keller and Lodge 2007","","(Moody and Les 2007; Madsen et al. 2015; Liao et al. 2016, Wagner and Falter 2002, Parsons et al. 2009; Tamayo and Olden 2014; Olden and Tamayo 2014)","","","",NA,"",304
"218","Myriophyllum tuberculatum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"219","Myriophyllum verrucosum","Red-water milfoil","milfoil","aquatic plant","","","","no","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",0
"220","Najas graminea","Ricefield waternymph","waternymph","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",1
"221","Najas indica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"222","Najas minor","less naiad","","aquatic plant","","","yes","","","","","yes","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",14
"223","Nasturtium x sterile","Sterile watercress hybrid","hybrid","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",0
"224","Nelumbo","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",49
"225","Nesaea crassicaulis ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"226","Nesaea pedicellata Hiern","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"227","Nesaea","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"228","Nomaphila coryambosa","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"229","Nuphar stellata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"230","Nymphaea alba","European white waterlily","waterlily","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",7
"231","Nymphaea lotus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",4
"232","Nymphaea mexicana","Yellow waterlily","waterlily","aquatic plant","yes","","","no","","","yes","","","","","","","",NA,NA,"","","BC Ministry List, Azan et al. 2015","Azan et al. 2015","","","","",NA,"",2
"233","Nymphaea micrantha","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"234","Nymphaea nouchali","Blue lotus","lotus","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","Mordecai et al. 2021","","","",NA,"",1
"235","Nymphaea odorata","Fragrant waterlily","waterlily","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",7
"236","Nymphaea pygmaea","Water lily","lily","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",0
"237","Nymphaea","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",38
"238","Nymphaea stellata OR Nymphaea nouchali","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",33
"239","Nymphaea zenkeri","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"240","Nymphoides aquatic ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",22
"241","Nymphoides hydrocharioides OR Nymphoides aurantiaca","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"242","Nymphoides peltata","Yellow floating heart","heart","aquatic plant","yes","","yes","no","","","yes","yes","","","","","","",NA,NA,"","","BC Ministry List, Keller and Lodge 2007","","","","","",NA,"",9
"243","Oenanthe aquatica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",5
"244","Oenanthe","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",17
"245","Ophioporgon japonicus","Mondo grass","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007, Cohen et al. 2007","","","","","",NA,"",0
"246","Orontium aquaticum","Golden-club","club","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",0
"247","Phragmites","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",1109
"248","Pilea cadierei","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"249","Pistia stratiotes","water lettuce","","aquatic plant","","","yes","","","","yes","yes","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",110
"250","Pogostemon helferi OR Dysophylla helferi OR Eusteralis helferi","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"251","Pogostemon stellatus OR Dysophylla stellata OR Eusteralis stellata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",8
"252","Pontederia sp. ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",4
"253","Potamogeton crispus","Curled pondweed (curlyleaf)","curlyleaf)","aquatic plant","yes","","yes","no","","","yes","","","","","","","",NA,NA,"yes","Washington","BC Ministry List, Keller and Lodge 2007","","(Tamayo and Olden 2014)","","","",NA,"",58
"254","Potamogeton malaianus OR Potamogeton nodosus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",82
"255","Potamogeton octandrus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"256","Potamogeton schweinfurthii","Pondweed","Pondweed","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",1
"257","Primula japonica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"258","Primula","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",35
"259","Proserpinaca palustris","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"260","Ranunculus lingua","greater spearwort","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Keller and Lodge 2007","Azan et al. 2015","","Moderately High","","",NA,"",0
"261","Ranunculus papulentus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"262","Rorippa nasturtium-aquaticum","Common water cress","cress","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",2
"263","Rotala indica ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",1
"264","Rotala macranda","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",0
"265","Rotala","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",7
"266","Rotala wallichii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",0
"267","Ruellia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",33
"268","Sagittaria aginashi","","","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",0
"269","Sagittaria guayanesis","Arrowhead lily","lily","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",0
"270","Sagittaria natans","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",1
"271","Sagittaria platyphylla","Delta arrowhead","arrowhead","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014, cohen et al. 2007","","","","","",NA,"",7
"272","Sagittaria","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",54
"273","Sagittaria subulata","Awl-leaf arrowhead","arrowhead","aquatic plant","","","","no","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",0
"274","Salvinia auriculata","eared watermoss","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",2
"275","Salvinia oblongifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"276","Scirpus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",135
"277","Sisyrinchium californicum ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"278","Spathiphyllum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","High","","",NA,"",4
"279","Spathiphyllum wallisii OR Stenospermatium popatenense var. wallisii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",59
"280","Syngonium","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",3
"281","Taxiphyllum barbieri","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","High","","",NA,"",0
"282","Taxiphyllum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",2
"283","Teucrium scordium","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","High","","",NA,"",0
"284","Thalia dealbata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",4
"285","Thalia geniculata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",2
"286","Tonina fluviatilis OR Hyphydra amplexicaulis OR Tonina fluviatilis f. parvifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",6
"287","Tonina","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"288","Trapa bicornis","Horn nut","nut","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",0
"289","Trapa natans","water chestnut","","aquatic plant","","","yes","","","","","yes","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",47
"290","Tulbaghia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",1
"291","Tulbaghia violacea","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",1
"292","typha angustifolia","narrow-leaved cattail","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"montana",114
"293","Typha minima","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","High","","",NA,"",8
"294","Typha","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",382
"295","Utricularia graminifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"296","Vallisneria americana","American tapegrass","tapegrass","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List, Cohen et al. 2007","","","","","",NA,"",69
"297","Vallisneria asiatica ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",1
"298","Vallisneria gigantea","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",2
"299","Vallisneria rubra OR Maidenia rubra","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",1
"300","Vallisneria","Tapegrass","Tapegrass","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List, Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",117
"301","Vallisneria spiralis ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",26
"302","Vallisneria torta ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"303","Veronica anagallis-aquatica","Blue water speedwell","speedwell","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",2
"304","Vesicularia dubyana","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",0
"305","Vesicularia montagnei","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"306","Wolffia brasiliensis","Brazilian watermeal","watermeal","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","DFO SLRA 2014","","","","","",NA,"",0
"307","Zephyranthes candida","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"308","Zizania aquatica","Wild rice","rice","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",4
"309","Zostera japonica","Japanese eel-grass","grass","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",50
"310","Abramites hypselonotus ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"311","Acanthocobitis botia ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"312","Acantopsis choirorhynchos ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"313","Acarichthys heckelii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"314","Acestrorhynchus falcatus","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"315","Acipenser transmontanus ","white sturgeon","sturgeon","fish","","","","","Oregon, California","","","","","","yes","","","",NA,NA,"","","Crossman 1991, DFO aquaculture liscences","","","Import","","",NA,"",30
