"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","notes","notes.2","X","X.1","X.2","wos"
"58","Caladium ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",3
"59","Callitriche stagnalis","Pond water-starwort","starwort","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",4
"60","Caltha","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",3
"61","Cardamine lyrata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"62","Carex albula","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"63","Carex buchananii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"64","Carex glauca OR Carex flacca","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",36
"65","Ceratophyllum demersum","Common hornwort","hornwort","aquatic plant","yes","","","yes","","","yes","","","","","","","",NA,NA,"","","BC Ministry List, Cohen et al. 2007","","","","","",NA,"",82
"66","Ceratopteris siliquosa ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"67","Ceratopteris thalictroides","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",3
"68","Cladophora aegagropila OR Aegagropila linnaei","moss ball ","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",25
"69","Colocasia esculenta","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",61
"70","Colocasia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",62
"71","Cordyline","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",13
"72","Crinium thaianum ","","","aquatic plant","","","","","","","","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"73","Crinum calamistratum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"74","Crinum natans Baker","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"75","Crinum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",7
"76","Crinum thaianum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"77","Cryptocoryne affinis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"78","Cryptocoryne albida","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"79","Cryptocoryne beckettii OR Cryptocoryne petchii","Beckett's water trumpet","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"80","Cryptocoryne ciliate ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"81","Cryptocoryne cordata OR Cryptocoryne blassii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",5
"82","Cryptocoryne crispatula OR Cryptocoryne balansae OR Cryptocoryne tonkinensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",2
"83","Cryptocoryne griffithii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"84","Cryptocoryne lingua","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"85","Cryptocoryne parva","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"86","Cryptocoryne pontederiifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"87","Cryptocoryne pygmaea","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"88","Cryptocoryne retrospiralis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"89","Cryptocoryne","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",3
"90","Cryptocoryne spiralis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"91","Cryptocoryne undulata OR Cryptocoryne willisii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",1
"92","Cryptocoryne wendtii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"93","Cyperus alternifolius","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",8
"94","Cyperus helferi Boeckeler","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"95","Cyperus longus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",1
"96","Cyperus papyrus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","High","","",NA,"",15
"97","Cyperus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","High","","",NA,"",184
"98","Didiplis diandra","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"99","Dieffenbachia exotica variegatus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"100","Dracaena deremensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"101","Dracaena fragrans","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"102","Dracaena sanderiana","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",4
"103","Dracaena","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",28
"104","Echinodorus amizonicus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"105","Echinodorus argentinensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"106","Echinodorus bleheri OR Echinodorus paniculatus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",0
"107","Echinodorus bolivianus OR Echinodorus latifolius OR Echinodorus angustifolius OR Echinodorus quadricostatus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",2
"108","Echinodorus cordifolius","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"109","Echinodorus gabrielli","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"110","Echinodorus grandiflorus OR Echinodorus muricatus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",43
"111","Echinodorus grisebachii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"112","Echinodorus martii OR Echinodorus major","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",5
"113","Echinodorus palaefolius","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"114","Echinodorus quadricostatus ","","","aquatic plant","","","","","","","","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"115","Echinodorus schulteri ","","","aquatic plant","","","","","","","","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"116","Echinodorus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",3
"117","Echinodorus tenellus OR Helanthium tenellum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",8
"118","Echinodorus uruguayensis OR Echinodorus osiris OR Echinodorus barthii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",5
"119","Egeria densa","Brazilian waterweed","waterweed","aquatic plant","yes","","yes","no","","","yes","yes","","","","","","",NA,NA,"yes","Washington","BC Ministry List, Keller and Lodge 2007, Cohen et al. 2007","","(Parsons et al. 2009; Tamayo and Olden 2014)","","","",NA,"",123
"120","Egeria najas","Narrow leaf elodea","elodea","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"yes","Alaska","DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","(Luizza et al. 2016; Carey et al. 2016; Sethi et al. 2017; Schwoerer et al. 2020b, 2020a)","Moderately Low","","",NA,"",33
"121","Eichhornia azurea ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",9
"122","Eichhornia diversifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"123","Eichornia cassipes","water hyacynth","","aquatic plant","","","yes","","","","yes","yes","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",0
