Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",Listed in publications,Risk assessment pubs,impact/other pubs,notes,notes 2,,,
Carex glauca OR Carex flacca,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Ceratophyllum demersum,Common hornwort,hornwort,aquatic plant,yes,,,yes,,,yes,,,,,,,,,,,,"BC Ministry List, Cohen et al. 2007",,,,,,,
Ceratopteris siliquosa ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Ceratopteris thalictroides,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Cladophora aegagropila OR Aegagropila linnaei,moss ball ,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Colocasia esculenta,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Colocasia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Cordyline,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Crinium thaianum ,,,aquatic plant,,,,,,,,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Crinum calamistratum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Crinum natans Baker,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Crinum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Crinum thaianum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Cryptocoryne affinis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Cryptocoryne albida,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Cryptocoryne beckettii OR Cryptocoryne petchii,Beckett's water trumpet,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Cryptocoryne ciliate ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Cryptocoryne cordata OR Cryptocoryne blassii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Cryptocoryne crispatula OR Cryptocoryne balansae OR Cryptocoryne tonkinensis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Cryptocoryne griffithii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Cryptocoryne lingua,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Cryptocoryne parva,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Cryptocoryne pontederiifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Cryptocoryne pygmaea,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Cryptocoryne retrospiralis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Cryptocoryne,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Cryptocoryne spiralis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Cryptocoryne undulata OR Cryptocoryne willisii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Cryptocoryne wendtii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Cyperus alternifolius,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Cyperus helferi Boeckeler,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Cyperus longus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Cyperus papyrus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,,,
Cyperus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,,,
Didiplis diandra,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Dieffenbachia exotica variegatus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Dracaena deremensis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Dracaena fragrans,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Dracaena sanderiana,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Dracaena,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Echinodorus amizonicus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Echinodorus argentinensis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Echinodorus bleheri OR Echinodorus paniculatus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Echinodorus bolivianus OR Echinodorus latifolius OR Echinodorus angustifolius OR Echinodorus quadricostatus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Echinodorus cordifolius,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Echinodorus gabrielli,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Echinodorus grandiflorus OR Echinodorus muricatus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Echinodorus grisebachii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Echinodorus martii OR Echinodorus major,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Echinodorus palaefolius,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Echinodorus quadricostatus ,,,aquatic plant,,,,,,,,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Echinodorus schulteri ,,,aquatic plant,,,,,,,,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Echinodorus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Echinodorus tenellus OR Helanthium tenellum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Echinodorus uruguayensis OR Echinodorus osiris OR Echinodorus barthii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Egeria densa,Brazilian waterweed,waterweed,aquatic plant,yes,,yes,no,,,yes,yes,,,,,,,,,yes,Washington,"BC Ministry List, Keller and Lodge 2007, Cohen et al. 2007",,(Parsons et al. 2009; Tamayo and Olden 2014),,,,,
Egeria najas,Narrow leaf elodea,elodea,aquatic plant,,,no,,,,yes,,,,,,,,,,yes,Alaska,"DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,"(Luizza et al. 2016; Carey et al. 2016; Sethi et al. 2017; Schwoerer et al. 2020b, 2020a)",Moderately Low,,,,
Eichhornia azurea ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Eichhornia diversifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Eichornia cassipes,water hyacynth,,aquatic plant,,,yes,,,,yes,yes,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Eleocharis montevidensis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Eleocharis vivipara,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Eriocaulon cinereum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Glossostigma elatinoides,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
