Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",Listed in publications,Risk assessment pubs,impact/other pubs,notes,notes 2,,,
Aplocheilichthys normani ,norman's lampeye,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family climate match ,,,
Aplocheilus dayi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aplocheilus lineatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aplocheilus panchax ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apteronotus albifrons ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apteronotus leptorhynchus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Archocentrus myrnae ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Arnoldichthys spilopterus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Astronotus ocellatus,Oscar,Oscar,fish,yes,,,,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Astyanax fasciatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Astyanax jordani ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Astyanax mexicanus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Atractosteus spatula ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Auchenipterichthys thoracatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Awaous bustamantei ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Balantiocheilos melanopterus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Barbonymus altus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Barbonymus schwanenfeldii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Beaufortia kweichowensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Beaufortia leveretti ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Bedotia gaeyi,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Betta splendens,Siamese fighting fish,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Boehikee fredcochui ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Boraras maculatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Botia dario ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Botia histrionica ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Botia kubotai ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Botia lohachata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Botia macracanthus,Clown loach,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Botia pulchripinnis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Botia striata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Brachygobius doriae ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Brachygobius xanthozonus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Brochis britskii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Brochis multiradiatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Brochis splendens ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Brycinus longipinnis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Bunocephalus coracoideus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Bunocephalus knerii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Callichthys callichthys ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Carassius auratus ,Goldfish,Goldfish,fish,,yes,yes,,,,yes,yes,yes,,,,,,,,,,"Crossman 1991, Mandrak et al 2014, Gartner et al. 2011, BC Ministry List, Keller and Lodge 2007, Gertzen et al. 2007",,,,,,,
Carassius carassius ,Crucian carp,carp,fish,,,no,,,,,yes,yes,yes,,,,,,,,,Mandrak et al 2014,,Roy et al. 2018,,,,,
Carassius gibelio,Prussian carp,carp,fish,,,,,,,,,,,,,,,,,yes,Alberta,,,Ruppert et al. 2017,,,,,
Catostomus catostomus,Longnose sucker,sucker,fish,,,,,Alberta,,,,,,,yes,,,,,yes,Montana,Crossman 1991,,Clancy and Bourret 2020,Import,forage species,Import,,
Catostomus commersonii,White sucker,sucker,fish,,,,,Alberta,,,,,,,yes,,,,,yes,Montana,Crossman 1991,,Clancy and Bourret 2020,Import,forage species,Import,,
Centromochlus reticulatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Chaca chaca,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Chalceus macrolepidotus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Channa asiatica ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Channa gachua ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Channa lucius ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Channa maculata,Blotched snakehead,snakehead,fish,yes,,,,,,,yes,yes,,,,,,,,,,"BC Ministry List, Mandrak et al. 2014",,Roy et al. 2018,not climate match to canada,family not a match,,,
Channa micropeltes ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Channa punctata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Channa striata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Characidium fasciatum ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Chilodus punctatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Chromobotia macracanthus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Cirrhina molitorella ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Cobitis taenia ,Spined loach,loach,fish,,yes,no,,,,,yes,,,,,,,,,,,Mandrak et al 2014,,,,,,,
Colisa lalia,Dwarf gourami,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Colossoma macropomum ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Coregonus clupeaformis,Lake whitefish,whitefish,fish,,yes,,yes,,,,,,,,,,,,,,,"Crossman 1991, BC Ministry List",,,,,,,
Corydoras adolfoi ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras aeneus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras agassizii ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras arcuatus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras atropersonatus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras axelrodi ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras blochi ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras concolor ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras delphax ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras duplicareus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras elegans ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras eques ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras habrosus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras hastatus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras julii ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras melanistius ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras melanotaenia ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras melini ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras metae ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras nattereri ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras ornatus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras paleatus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras panda ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras polystictus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras punctatus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras pygmaeus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras rabauti ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras reticulatus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras schwartzi ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras spilurus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Corydoras sterbai ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Corydoras trilineatus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Corydoras zygatus ,Corydoras catfish,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Couesius plumbeus,Lake chub,chub,fish,,,,,Alberta,,,,,,,yes,,,,,,,Crossman 1991,,,Import,forage species,Import,,
Crenuchus spilurus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Crossocheilus latius ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Crossocheilus siamensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Ctenobrycon hauxwellianus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Ctenobrycon spilurus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Ctenopharyngodon idella ,Grass carp,carp,fish,,,no,,,Yes,,yes,yes,,,,,,,,yes,Idaho,"Mandrak et al 2014, Therriault and Webb 2017","Therriault and Webb 2017, DFO Canadawide RA","Erickson et al. 2017, Roy et al. 2018",,,,,
Ctenopoma acutirostre,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Culaea inconstans ,Brook stickleback,stickleback,fish,,,,,Alberta,Yes,,,,,,yes,,,,,yes,Washington,"Crossman 1991, Therriault and Webb 2017",Therriault and Webb 2017,(Scholz et al. 2003; Wieker et al. 2016),Import,forage species,Import,,
Cynoglossus microlepis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Cyprinella lutrensis ,Red Shiner,Shiner,fish,,yes,no,,,,,yes,yes,,,,,,,,,,Mandrak et al 2014,,Roy et al. 2018,,,,,
Cyprinus carpio ,"Common carp, koi",carp,fish,,yes,yes,,,Yes,,yes,yes,,yes,,,,,,yes,Washington,"Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence, Therriault and Webb 2017, BC Ministry List",Therriault and Webb 2017,Feeken et al. 2019,,,,,
Danio albolineatus ,Pearl danio,danio,fish,,yes,no,,,,,yes,,,,,,,,,,,Mandrak et al 2014,,,,,,,
Danio choprai,Danio burmese glowlight,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Danio rario,Zebra danio,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Dermogenys pusilla ,,,fish,,,,,,,,,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Dianema longibarbis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Dianema urostriatum ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Dormitator latifrons ,,,fish,,,,,,,,,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Doryichthys boaja ,,,fish,,,,,,,,,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Elassoma evergladei ,,,fish,,,,,,,,,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Epiplatys annulatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Erimyzon sucetta ,Lake chubsucker ,sucker,fish,,,,,,Yes,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Esox americanus ,Redfin pickerel ,pickerel,fish,,,,,,Yes,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Esox lucius,Northern Pike,Pike,fish,,yes,yes,,"Yukon, Alberta",,,,,,,,,,,,yes,"Montana, Alaska, Alberta","Crossman 1991, BC Ministry List",DFO 2010 BC RA,"Clancy and Bourret 2020, (Haught and von Hippel 2011; Sepulveda et al. 2013; Heins et al. 2016; Dunker et al. 2016, 2020; Cathcart et al. 2019, Sepulveda et al. 2018",Import,Authorized Introduction,,,
Exodon paradoxus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Fundulopanchax filamentosus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Fundulopanchax gardneri ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Fundulopanchax puerzli ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Fundulopanchax sjostedti ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Fundulopanchax walkeri ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Gambusia aflnis,Mosquitofish,Mosquitofish,fish,,,yes,,,,,yes,,,,,,yes,,,,,"Crossman 1991, Keller and Lodge, Mandrak et al. 2014",,,"Exotic, not climate match to canada","Authorized Introduction, family climate match ",,,
Gambusia holbrooki ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Gasterosteus aculeatus,Three spined stickleback,stickleback,fish,,,,,,,,,,,,,,,,,,,Crossman 1991,,,,Authorized Introduction,,,
Gastromyzon borneensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Gobio gobio ,Gudgeon ,Gudgeon,fish,,,,,,Yes,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Gobiodon rivulatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Gobioides broussonnetii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Gymnocorymbus ternetzi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Gyrinocheilus aymonieri,Chinese algae-eater,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Hasemania nana ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hemibagrus nemurus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Hemichromis sp.,Jewel cichlid,cichlid,fish,yes,,,,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Hemigrammus bleheri ,Firehead tetra,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Hemigrammus bleheri ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hemigrammus erythrozonus ,Glowlight tetra,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Hemigrammus gracilis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hemigrammus hyanuary ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hemigrammus ocellifer ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hemigrammus pulcher ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hemigrammus rhodostomus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hemigrammus rodwayi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hemigrammus ulreyi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Heterandria formosa ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Hiodon alosoides,Goldeye,Goldeye,fish,,,,,Alberta,,,,,,,,,,,,,,Crossman 1991,,,Import,Authorized Introduction,,,
Homaloptera ophiolepis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Hoplocharax goethei ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hoplosternum littorale ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hoplosternum thoracatum ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Horabagrus brachysoma ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Hyalobagrus ornatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Hyphessobrycon amandae ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon anisitsi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon axelrodi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon bentosi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon columbianus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon ecuadoriensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon eos ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon eques ,Jewel tetra,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Hyphessobrycon erythrostigma ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon flammeus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon herbertaxelrodi ,Black neon tetra,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Hyphessobrycon loretoensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon megalopterus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon metae ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon pulchripinnis ,Lemon tetre,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Hyphessobrycon pyrrhonotus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon rosaceus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon roseus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon scholzei ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon serpae ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon socolofi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hyphessobrycon sweglesi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Hypophthalmichthys molitrix ,Silver carp ,carp,fish,,,,,,Yes,,,,,,,,,,,,,Therriault and Webb 2017,"Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,,,,,
Hypophthalmichthys nobilis ,Bighead carp ,carp,fish,,,,,,Yes,,,yes,,,,,,,,,,"Therriault and Webb 2017, Keller and Lodge 2007","Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,,,,,
Ichthyomyzon greeleyi ,Mountain brook lamprey ,lamprey,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Ictalurus furcatus ,Blue catfish,catfish,fish,,,no,,,,,yes,,,,,,,,,,,Mandrak et al 2014,,,,,,,
Ictalurus punctatus ,Channel catfish,catfish,fish,,yes,yes,,Idaho,,,yes,yes,,,,,,,,,,"Crossman 1991, Mandrak et al 2014",,,,,,,
